{\rtf1\ansi\ansicpg1252\cocoartf1561\cocoasubrtf600
{\fonttbl\f0\fmodern\fcharset0 Courier;}
{\colortbl;\red255\green255\blue255;\red0\green0\blue0;}
{\*\expandedcolortbl;;\cssrgb\c0\c0\c0;}
\margl1440\margr1440\vieww10800\viewh8400\viewkind0
\deftab720
\pard\pardeftab720\sl280\partightenfactor0

\f0\fs24 \cf2 \expnd0\expndtw0\kerning0
\outl0\strokewidth0 \strokec2 34, Private, 287315, HS-grad, 9, Divorced, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
57, Local-gov, 139095, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K\
64, Private, 212513, Bachelors, 13, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K\
50, Private, 133963, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 35, United-States, <=50K\
26, Federal-gov, 337575, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, >50K\
58, Private, 95428, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K\
31, Private, 161765, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 2051, 57, United-States, <=50K\
35, Private, 186934, Masters, 14, Separated, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, >50K\
21, Private, 212661, 10th, 6, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 39, United-States, <=50K\
47, Self-emp-not-inc, 134671, HS-grad, 9, Married-spouse-absent, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
56, Private, 178033, Some-college, 10, Widowed, Exec-managerial, Not-in-family, White, Male, 4416, 0, 60, United-States, <=50K\
46, Private, 208067, HS-grad, 9, Divorced, Craft-repair, Other-relative, White, Male, 0, 0, 40, United-States, <=50K\
52, Private, 178596, Masters, 14, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, >50K\
23, Private, 156807, 9th, 5, Never-married, Handlers-cleaners, Own-child, Black, Male, 0, 0, 36, United-States, <=50K\
52, Private, 154342, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 48, United-States, >50K\
44, Self-emp-not-inc, 195486, HS-grad, 9, Married-civ-spouse, Sales, Husband, Black, Male, 0, 0, 70, Jamaica, <=50K\
45, Private, 84298, Assoc-voc, 11, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 50, United-States, >50K\
62, ?, 235521, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 48, United-States, <=50K\
60, Local-gov, 259803, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 45, United-States, >50K\
29, Private, 202558, Assoc-voc, 11, Married-civ-spouse, Tech-support, Other-relative, White, Female, 0, 0, 40, United-States, <=50K\
45, Private, 201865, Bachelors, 13, Married-spouse-absent, Exec-managerial, Unmarried, White, Male, 0, 0, 40, United-States, <=50K\
46, Private, 198774, Masters, 14, Divorced, Exec-managerial, Unmarried, White, Female, 0, 323, 45, United-States, <=50K\
37, Private, 134367, Bachelors, 13, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 37, United-States, >50K\
28, Local-gov, 125159, Some-college, 10, Never-married, Adm-clerical, Other-relative, Black, Male, 0, 0, 40, Haiti, <=50K\
34, Private, 230246, 9th, 5, Separated, Craft-repair, Not-in-family, White, Male, 0, 0, 40, ?, <=50K\
48, Local-gov, 144122, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, >50K\
50, Private, 128478, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 60, United-States, >50K\
20, Private, 82777, HS-grad, 9, Married-civ-spouse, Sales, Own-child, White, Male, 0, 0, 40, United-States, <=50K\
28, Private, 265074, 11th, 7, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
27, Private, 180553, HS-grad, 9, Separated, Machine-op-inspct, Unmarried, White, Female, 0, 0, 40, United-States, <=50K\
59, Private, 95165, Doctorate, 16, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K\
45, Private, 98881, 11th, 7, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 32, United-States, <=50K\
38, Private, 199256, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K\
28, Private, 490332, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 3103, 0, 40, United-States, >50K\
44, Private, 242521, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 7688, 0, 50, United-States, >50K\
36, Local-gov, 113337, Some-college, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 42, United-States, >50K\
49, Private, 240629, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 38, United-States, <=50K\
24, Private, 227070, 10th, 6, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, 0, 0, 40, United-States, <=50K\
62, Self-emp-inc, 134768, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 35, United-States, <=50K\
33, Self-emp-inc, 179708, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K\
49, Self-emp-not-inc, 355978, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 99999, 0, 35, United-States, >50K\
23, Private, 41721, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 55, United-States, >50K\
52, Private, 113094, Bachelors, 13, Separated, Adm-clerical, Unmarried, White, Female, 0, 1092, 40, United-States, <=50K\
23, Private, 113511, HS-grad, 9, Never-married, Craft-repair, Unmarried, White, Male, 0, 0, 40, United-States, <=50K\
28, ?, 268222, 11th, 7, Never-married, ?, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K\
32, Private, 160362, Some-college, 10, Divorced, Other-service, Other-relative, White, Male, 0, 0, 40, Nicaragua, <=50K\
23, ?, 234108, Some-college, 10, Never-married, ?, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
17, Private, 152710, 11th, 7, Never-married, Other-service, Own-child, White, Female, 0, 0, 20, United-States, <=50K\
17, Private, 99161, 10th, 6, Never-married, Other-service, Own-child, White, Male, 0, 0, 8, United-States, <=50K\
60, Self-emp-not-inc, 285365, Some-college, 10, Married-civ-spouse, Other-service, Wife, Black, Female, 0, 0, 50, United-States, <=50K\
36, Private, 258102, HS-grad, 9, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
33, Local-gov, 511289, Assoc-voc, 11, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 48, United-States, >50K\
34, Private, 173854, Masters, 14, Divorced, Exec-managerial, Not-in-family, White, Male, 27828, 0, 60, United-States, >50K\
29, Private, 535740, HS-grad, 9, Never-married, Craft-repair, Unmarried, Black, Male, 0, 0, 40, United-States, <=50K\
23, Private, 345734, Some-college, 10, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States, <=50K\
28, Private, 70604, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 38, United-States, <=50K\
51, Private, 71046, Some-college, 10, Divorced, Exec-managerial, Unmarried, White, Male, 0, 0, 45, Scotland, <=50K\
46, Private, 216292, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 45, United-States, <=50K\
43, Private, 222635, 11th, 7, Divorced, Farming-fishing, Not-in-family, White, Male, 0, 0, 80, United-States, <=50K\
19, Private, 456736, Some-college, 10, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 35, United-States, <=50K\
26, Private, 33610, HS-grad, 9, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 40, United-States, <=50K\
25, Private, 209428, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 25, El-Salvador, <=50K\
49, Private, 452402, Some-college, 10, Separated, Exec-managerial, Unmarried, Black, Female, 0, 0, 60, United-States, <=50K\
28, Private, 145284, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
30, Local-gov, 289442, HS-grad, 9, Never-married, Protective-serv, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
20, Private, 228649, HS-grad, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States, <=50K\
44, ?, 191982, Some-college, 10, Divorced, ?, Unmarried, White, Female, 0, 0, 10, Poland, <=50K\
27, Private, 147839, Some-college, 10, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 38, United-States, <=50K\
22, State-gov, 52262, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 20, England, <=50K\
46, Private, 31432, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 3103, 0, 52, United-States, >50K\
49, Private, 140121, HS-grad, 9, Divorced, Exec-managerial, Unmarried, White, Male, 0, 0, 50, United-States, <=50K\
39, Self-emp-not-inc, 457453, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 40, United-States, <=50K\
37, State-gov, 270278, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 12, Puerto-Rico, <=50K\
39, Private, 49020, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 3103, 0, 48, United-States, >50K\
43, Private, 114351, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 35, United-States, <=50K\
23, Private, 213811, Bachelors, 13, Never-married, Exec-managerial, Own-child, White, Female, 0, 0, 40, United-States, <=50K\
31, Private, 217460, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K\
51, Private, 139347, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 7688, 0, 40, United-States, >50K\
44, Self-emp-inc, 56651, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7688, 0, 45, United-States, >50K\
35, Private, 117555, Assoc-acdm, 12, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 45, United-States, <=50K\
27, Private, 129009, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 55, United-States, <=50K\
38, Private, 186191, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 55, United-States, <=50K\
38, Private, 167725, Bachelors, 13, Married-spouse-absent, Transport-moving, Not-in-family, Other, Male, 0, 0, 84, India, <=50K\
23, Private, 102942, Bachelors, 13, Never-married, Prof-specialty, Own-child, White, Female, 0, 2258, 40, United-States, >50K\
51, Private, 154342, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 7688, 0, 45, United-States, >50K\
34, Private, 204991, Some-college, 10, Divorced, Exec-managerial, Own-child, White, Male, 0, 0, 44, United-States, <=50K\
57, Self-emp-not-inc, 27385, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 10, United-States, <=50K\
46, Private, 151325, 10th, 6, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K\
58, Private, 142182, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 25, United-States, <=50K\
45, Private, 151518, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, <=50K\
46, Federal-gov, 97863, Assoc-voc, 11, Married-civ-spouse, Adm-clerical, Husband, White, Male, 5178, 0, 40, United-States, >50K\
37, Private, 176073, Some-college, 10, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K\
21, ?, 247075, HS-grad, 9, Never-married, ?, Unmarried, Black, Female, 0, 0, 25, United-States, <=50K\
52, Local-gov, 199995, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7298, 0, 60, United-States, >50K\
57, Self-emp-inc, 84231, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 1977, 50, United-States, >50K\
46, Private, 206889, Bachelors, 13, Widowed, Adm-clerical, Not-in-family, White, Female, 0, 0, 25, United-States, <=50K\
35, Private, 301862, HS-grad, 9, Never-married, Craft-repair, Unmarried, White, Male, 0, 0, 50, United-States, <=50K\
46, Private, 347993, 1st-4th, 2, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, Mexico, <=50K\
24, Private, 205844, Bachelors, 13, Never-married, Exec-managerial, Own-child, Black, Female, 0, 0, 65, United-States, <=50K\
31, Local-gov, 356689, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K\
68, Private, 191581, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 3273, 0, 40, United-States, <=50K\
26, Self-emp-inc, 97952, Bachelors, 13, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 80, United-States, <=50K\
29, Self-emp-not-inc, 85572, 11th, 7, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 5, United-States, <=50K\
51, Private, 166461, 11th, 7, Divorced, Machine-op-inspct, Unmarried, Black, Female, 5455, 0, 40, United-States, <=50K\
27, ?, 204773, Assoc-acdm, 12, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 40, United-States, <=50K\
43, Private, 215624, Some-college, 10, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Vietnam, <=50K\
38, Private, 222573, HS-grad, 9, Separated, Machine-op-inspct, Unmarried, White, Female, 0, 0, 40, United-States, <=50K\
68, Private, 34887, HS-grad, 9, Widowed, Priv-house-serv, Not-in-family, White, Female, 0, 0, 6, United-States, <=50K\
50, Self-emp-not-inc, 231196, Bachelors, 13, Divorced, Sales, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K\
28, Private, 203776, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, Poland, <=50K\
26, Self-emp-inc, 384276, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, >50K\
65, Private, 170939, Bachelors, 13, Divorced, Prof-specialty, Not-in-family, White, Male, 6723, 0, 40, United-States, <=50K\
39, Self-emp-inc, 233117, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K\
54, Local-gov, 135840, 10th, 6, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 45, United-States, <=50K\
33, Self-emp-not-inc, 188957, Bachelors, 13, Never-married, Sales, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K\
19, Private, 136391, HS-grad, 9, Never-married, Tech-support, Own-child, White, Female, 0, 0, 20, United-States, <=50K\
29, Private, 224215, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K\
31, Private, 272069, Assoc-voc, 11, Divorced, Transport-moving, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
27, Private, 423250, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, <=50K\
47, Local-gov, 186009, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 38, Mexico, <=50K\
26, Private, 191393, HS-grad, 9, Never-married, Adm-clerical, Unmarried, Black, Male, 0, 1380, 40, United-States, <=50K\
22, Private, 514033, HS-grad, 9, Never-married, Other-service, Not-in-family, Black, Male, 0, 0, 80, United-States, <=50K\
42, State-gov, 396758, Some-college, 10, Divorced, Prof-specialty, Own-child, White, Female, 0, 0, 40, United-States, <=50K\
70, ?, 262502, Some-college, 10, Married-civ-spouse, ?, Husband, White, Male, 0, 1844, 24, United-States, <=50K\
22, Private, 131230, Bachelors, 13, Never-married, Sales, Own-child, White, Male, 0, 0, 40, United-States, <=50K\
39, Private, 144169, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K\
19, ?, 249147, HS-grad, 9, Never-married, ?, Own-child, White, Male, 0, 0, 30, United-States, <=50K\
22, Private, 535852, 10th, 6, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, Mexico, <=50K\
62, Private, 101582, 7th-8th, 4, Widowed, Machine-op-inspct, Unmarried, White, Female, 0, 0, 35, United-States, <=50K\
58, Private, 430005, 10th, 6, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, >50K\
60, Private, 224277, Bachelors, 13, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States, >50K\
33, Self-emp-not-inc, 223046, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
40, Self-emp-inc, 137367, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male, 0, 0, 50, China, <=50K\
34, Private, 48014, Bachelors, 13, Separated, Exec-managerial, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K\
52, Private, 174752, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States, >50K\
30, Private, 110594, HS-grad, 9, Divorced, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K\
26, Private, 68991, HS-grad, 9, Never-married, Other-service, Unmarried, Black, Male, 0, 0, 40, United-States, <=50K\
45, Private, 278151, HS-grad, 9, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 40, United-States, <=50K\
19, Private, 192162, HS-grad, 9, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K\
30, Private, 323833, 5th-6th, 3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, Mexico, <=50K\
38, Private, 256864, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, >50K\
62, Private, 218009, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 1977, 60, United-States, >50K\
38, State-gov, 149455, HS-grad, 9, Never-married, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K\
28, Private, 278736, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, Mexico, <=50K\
50, Private, 144361, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 50, United-States, >50K\
47, Private, 237914, HS-grad, 9, Widowed, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
31, Private, 236861, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 60, United-States, <=50K\
34, Private, 271933, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Wife, White, Female, 0, 0, 40, United-States, <=50K\
60, Private, 177665, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 35, United-States, <=50K\
35, Private, 188041, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, <=50K\
42, Private, 248356, HS-grad, 9, Never-married, Sales, Unmarried, White, Female, 0, 0, 40, United-States, <=50K\
38, Private, 105803, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K\
20, ?, 298155, Some-college, 10, Never-married, ?, Own-child, Black, Female, 0, 0, 40, United-States, <=50K\
57, Private, 182062, 10th, 6, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K\
48, Self-emp-not-inc, 213140, 7th-8th, 4, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, Italy, <=50K\
22, Private, 110200, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
41, State-gov, 227734, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 3464, 0, 40, United-States, <=50K\
36, Self-emp-not-inc, 205607, Bachelors, 13, Divorced, Prof-specialty, Not-in-family, Black, Female, 0, 0, 40, United-States, >50K\
49, Local-gov, 49275, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K\
55, Private, 174662, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 32, United-States, <=50K\
39, Private, 119272, 10th, 6, Divorced, Transport-moving, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
29, Private, 184806, Assoc-acdm, 12, Never-married, Other-service, Own-child, White, Male, 0, 0, 20, United-States, <=50K\
34, Self-emp-not-inc, 108247, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States, >50K\
45, Local-gov, 119199, Assoc-acdm, 12, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 48, United-States, <=50K\
54, Private, 143822, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, >50K\
28, Private, 228075, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K\
33, Private, 183612, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 20, United-States, <=50K\
25, Private, 512771, 9th, 5, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 45, United-States, <=50K\
50, Private, 194995, Assoc-voc, 11, Never-married, Sales, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
46, Private, 174370, Some-college, 10, Separated, Sales, Not-in-family, White, Male, 0, 0, 55, United-States, <=50K\
29, Private, 54932, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K\
27, State-gov, 205499, Doctorate, 16, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 77, United-States, <=50K\
31, Private, 288983, Some-college, 10, Never-married, Protective-serv, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
63, Private, 221072, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 49, ?, <=50K\
36, Local-gov, 135786, 9th, 5, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 25, United-States, <=50K\
38, Private, 187069, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 45, United-States, <=50K\
45, Private, 360393, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1902, 50, United-States, >50K\
19, Private, 560804, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 30, United-States, <=50K\
36, Private, 185360, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States, <=50K\
57, Private, 199934, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K\
46, Private, 145290, Assoc-voc, 11, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K\
20, Private, 330836, 11th, 7, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K\
40, Private, 335400, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, Dominican-Republic, <=50K\
60, Private, 191446, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 99999, 0, 40, United-States, >50K\
19, Private, 552354, 12th, 8, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 40, United-States, <=50K\
19, State-gov, 73009, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 15, United-States, <=50K\
37, Private, 294919, Some-college, 10, Divorced, Transport-moving, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
